name,affiliation,country,dept,year,homepage
Brian David Outram Anderson ,Australian National University,australasia,#N/A,#N/A,http://users.cecs.anu.edu.au/~briandoa/
Changbin Brad Yu ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/changbin-brad-yu/
Changbin Yu ,Australian National University,australasia,robotics,2012,https://cecs.anu.edu.au/people/changbin-brad-yu/
Chog Barugkin ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/chog-barugkin/
Chris Stokes-Griffin ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/chris-stokes-griffin/
Chuong V. Nguyen ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/chuong-nguyen/
Daniel Macdonald ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/daniel-macdonald/
Daniel Walter ,Australian National University,australasia,vision,2015,https://cecs.anu.edu.au/people/daniel-walter/
David Nisbet ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/nisbet-d/
Dingfu Zhou ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/zhou-d/
Dinusha Vatsalan ,Australian National University,australasia,#N/A,#N/A,https://cs.anu.edu.au/people/dinusha-vatsalan/
Dirk Pattinson ,Australian National University,australasia,ai,2009,https://cs.anu.edu.au/people/dirk-pattinson/
Dongwoo Kim ,Australian National University,australasia,ai,2013,https://cecs.anu.edu.au/people/dongwoo-kim/
Ekaterina Lebedeva ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/ekaterina-lebedeva/
Enrico Scala ,Australian National University,australasia,ai,2015,https://cs.anu.edu.au/people/enrico-scala/
Er-Chien Wang ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/er-chien-wang/
Eric C. McCreath ,Australian National University,australasia,#N/A,#N/A,https://cs.anu.edu.au/~Eric.McCreath/
Eric McCreath ,Australian National University,australasia,ai,1997,https://cs.anu.edu.au/people/eric-mccreath/
Evan Franklin ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/evan-franklin/
Fatih Murat Porikli ,Australian National University,australasia,vision,2005,http://www.porikli.com/
Fatih Porikli ,Australian National University,australasia,ai,2017,https://cecs.anu.edu.au/people/fatih-porikli/
Fiacre Rougieux ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/fiacre-rougieux/
Fiona J. Beck ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/fiona-j-beck/
Gerard Borg ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/borg-gg/
Gerry Corrigan ,Australian National University,australasia,#N/A,#N/A,http://medicalschool.anu.edu.au/people/gerard-corrigan/
Guodong Shi ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/guodong-shi/
Hassan Hijazi ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/hijazi-h?term=hassan/
Hassan L. Hijazi ,Australian National University,australasia,ai,2013,https://researchers.anu.edu.au/researchers/hijazi-h/
Hemant Kumar Mulmudi ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/hemant-kumar-mulmudi-0/
Henry Gardner ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/henry-gardner/
Henry J. Gardner ,Australian National University,australasia,chi,2016,https://cs.anu.edu.au/people/henry-gardner/
